model,dimension,category,count,passed,pass_rate
base8b,overall,overall,1000,300,0.300000
base8b,by_library,Matplotlib,155,71,0.458065
base8b,by_library,Numpy,220,78,0.354545
base8b,by_library,Pandas,291,62,0.213058
base8b,by_library,Pytorch,68,21,0.308824
base8b,by_library,Scipy,106,26,0.245283
base8b,by_library,Sklearn,115,28,0.243478
base8b,by_library,Tensorflow,45,14,0.311111
base8b,by_perturbation,Difficult-Rewrite,162,40,0.246914
base8b,by_perturbation,Origin,452,172,0.380531
base8b,by_perturbation,Semantic,234,65,0.277778
base8b,by_perturbation,Surface,152,23,0.151316
deepanalyze8b,overall,overall,1000,587,0.587000
deepanalyze8b,by_library,Matplotlib,155,92,0.593548
deepanalyze8b,by_library,Numpy,220,152,0.690909
deepanalyze8b,by_library,Pandas,291,154,0.529210
deepanalyze8b,by_library,Pytorch,68,46,0.676471
deepanalyze8b,by_library,Scipy,106,58,0.547170
deepanalyze8b,by_library,Sklearn,115,57,0.495652
deepanalyze8b,by_library,Tensorflow,45,28,0.622222
deepanalyze8b,by_perturbation,Difficult-Rewrite,162,82,0.506173
deepanalyze8b,by_perturbation,Origin,452,289,0.639381
deepanalyze8b,by_perturbation,Semantic,234,136,0.581197
deepanalyze8b,by_perturbation,Surface,152,80,0.526316
